2021-03-23 15:26:28,720 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lt.activit.activiti.service.TestServiceTest], using SpringBootContextLoader
2021-03-23 15:27:00,557 [main] INFO  o.h.jpa.internal.util.LogHelper 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-03-23 15:27:00,748 [main] INFO  org.hibernate.Version 44 - HHH000412: Hibernate ORM core version 5.4.12.Final
2021-03-23 15:27:01,064 [main] INFO  o.h.annotations.common.Version 49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-03-23 15:27:01,382 [main] INFO  org.hibernate.dialect.Dialect 172 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2021-03-23 15:27:01,910 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator 52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-03-23 15:27:01,932 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-03-23 15:27:02,111 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-23 15:27:03,785 [main] INFO  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory 38 - Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
2021-03-23 15:27:04,155 [main] INFO  o.a.engine.impl.ProcessEngineImpl 87 - ProcessEngine default created
2021-03-23 15:27:04,157 [main] INFO  o.a.e.i.a.DefaultAsyncJobExecutor 169 - Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2021-03-23 15:27:04,159 [Thread-5] INFO  o.a.e.i.a.AcquireTimerJobsRunnable 49 - {} starting to acquire async jobs due
2021-03-23 15:27:04,159 [Thread-4] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable 45 - {} starting to acquire async jobs due
2021-03-23 15:27:04,162 [Thread-6] INFO  o.a.e.i.a.ResetExpiredJobsRunnable 51 - {} starting to reset expired jobs
2021-03-23 15:27:04,446 [main] WARN  o.m.spring.SqlSessionFactoryBean 44 - Property 'mapperLocations' was specified but matching resources are not found.
2021-03-23 15:27:04,791 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-23 15:27:04,792 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-23 15:27:04,802 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-23 15:27:04,803 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-23 15:27:04,981 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration 220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-23 15:27:05,885 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration 106 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-03-23 15:27:09,630 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-23 15:27:12,982 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-23 15:27:13,197 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger 84 - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2021-03-23 15:27:13,286 [main] INFO  c.l.a.a.service.TestServiceTest 61 - Started TestServiceTest in 26.083 seconds (JVM running for 28.697)
2021-03-23 15:27:15,320 [main] INFO  c.l.a.a.service.impl.TestServiceImpl 69 - WorkFlowServiceImpl-->deploymentProcessDefinition-->end.. ,deploymentID:1,deploymentName:6d936737-d962-4296-addf-5812507e4df9
2021-03-23 15:27:15,408 [SpringContextShutdownHook] INFO  o.s.c.n.eureka.InstanceInfoFactory 72 - Setting initial instance status as: STARTING
2021-03-23 15:27:15,416 [SpringContextShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry 65 - Unregistering application CONN-ACTI with eureka with status DOWN
2021-03-23 15:27:15,451 [SpringContextShutdownHook] INFO  o.a.e.i.a.DefaultAsyncJobExecutor 208 - Shutting down the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2021-03-23 15:27:15,452 [activiti-acquire-timer-jobs] INFO  o.a.e.i.a.AcquireTimerJobsRunnable 115 - {} stopped async job due acquisition
2021-03-23 15:27:15,453 [activiti-acquire-async-jobs] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable 115 - {} stopped async job due acquisition
2021-03-23 15:27:15,453 [activiti-reset-expired-jobs] INFO  o.a.e.i.a.ResetExpiredJobsRunnable 99 - {} stopped resetting expired jobs
2021-03-23 15:27:15,455 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-23 15:27:15,456 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-03-23 15:27:15,465 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource 1863 - {dataSource-1} closed
